Stnno,Year,Month,Day,Rainfall,Day mean wind,Solar Radioation ( MJm-2)
48650,2008,9,4,15.4,1.3,-1.11
48650,2008,9,5,0.0,1.5,-1.11
48650,2008,9,6,20.0,1.6,-1.11
48650,2008,9,7,0.0,1.6,-1.11
48650,2008,9,8,0.6,1.8,-1.11
48650,2008,9,9,0.0,1.7,-1.11
48650,2008,9,10,0.2,1.3,-1.11
48650,2008,9,11,26.8,2.3,-1.11
48650,2008,9,12,7.8,2.1,-1.11
48650,2008,9,13,0.0,1.7,-1.11
48650,2008,9,14,1.6,1.8,-1.11
48650,2008,9,15,0.4,1.5,-1.11
48650,2008,9,16,0.0,1.2,-1.11
48650,2008,9,17,0.0,1.6,-1.11
48650,2008,9,18,0.0,2.3,-1.11
48650,2008,9,19,0.0,2.7,-1.11
48650,2008,9,20,0.0,1.8,-1.11
48650,2008,9,21,4.2,1.7,-1.11
48650,2008,9,22,0.0,1.3,-1.11
48650,2008,9,23,0.0,1.4,-1.11
48650,2008,9,24,0.0,1.7,-1.11
48650,2008,9,25,0.0,1.2,-1.11
48650,2008,9,26,0.2,1.4,-1.11
48650,2008,9,27,0.0,1.5,-1.11
48650,2008,9,28,0.0,1.5,-1.11
48650,2008,9,29,0.0,1.1,-1.11
48650,2008,9,30,3.8,2.7,-1.11
48650,2008,10,1,0.8,1.5,-1.11
48650,2008,10,2,0.0,1.7,-1.11
48650,2008,10,3,36.0,1.5,-1.11
48650,2008,10,4,0.0,1.4,-1.11
48650,2008,10,5,4.0,1.5,-1.11
48650,2008,10,6,0.8,1.6,-1.11
48650,2008,10,7,69.8,1.3,-1.11
48650,2008,10,8,0.0,1.1,-1.11
48650,2008,10,9,5.8,1.4,-1.11
48650,2008,10,10,1.2,1.1,-1.11
48650,2008,10,11,0.0,1.5,-1.11
48650,2008,10,12,3.4,1.7,-1.11
48650,2008,10,13,8.4,1.3,-1.11
48650,2008,10,14,0.0,1.4,-1.11
48650,2008,10,15,19.8,1.9,-1.11
48650,2008,10,16,35.6,1.9,-1.11
48650,2008,10,17,0.0,1.2,-1.11
48650,2008,10,18,10.0,1.0,-1.11
48650,2008,10,19,12.4,1.5,-1.11
48650,2008,10,20,15.4,1.5,-1.11
48650,2008,10,21,1.2,1.8,-1.11
48650,2008,10,22,0.4,3.1,-1.11
48650,2008,10,23,1.2,1.8,-1.11
48650,2008,10,24,0.0,1.2,-1.11
48650,2008,10,25,0.0,1.8,-1.11
48650,2008,10,26,0.0,1.3,-1.11
48650,2008,10,27,0.0,1.2,-1.11
48650,2008,10,28,0.0,1.7,-1.11
48650,2008,10,29,0.0,1.5,-1.11
48650,2008,10,30,0.0,1.3,-1.11
48650,2008,10,31,0.0,1.3,-1.11
48650,2008,11,1,0.0,1.3,-1.11
48650,2008,11,2,15.6,1.6,-1.11
48650,2008,11,3,0.0,1.1,-1.11
48650,2008,11,4,1.8,1.1,-1.11
48650,2008,11,5,7.6,1.2,-1.11
48650,2008,11,6,0.6,1.6,-1.11
48650,2008,11,7,0.0,1.7,-1.11
48650,2008,11,8,0.0,1.7,-1.11
48650,2008,11,9,0.0,1.6,-1.11
48650,2008,11,10,27.2,1.6,-1.11
48650,2008,11,11,0.0,1.3,-1.11
48650,2008,11,12,0.0,1.6,-1.11
48650,2008,11,13,0.0,1.2,-1.11
48650,2008,11,14,6.0,1.7,-1.11
48650,2008,11,15,41.4,0.8,-1.11
48650,2008,11,16,2.6,0.9,-1.11
48650,2008,11,17,42.4,1.2,-1.11
48650,2008,11,18,1.2,1.0,-1.11
48650,2008,11,19,38.0,1.0,-1.11
48650,2008,11,20,23.6,1.2,-1.11
48650,2008,11,21,10.6,1.4,-1.11
48650,2008,11,22,0.0,1.3,-1.11
48650,2008,11,23,9.6,1.8,-1.11
48650,2008,11,24,0.0,1.7,-1.11
48650,2008,11,25,7.2,1.4,-1.11
48650,2008,11,26,15.0,1.5,-1.11
48650,2008,11,27,11.0,1.6,-1.11
48650,2008,11,28,38.8,1.1,-1.11
48650,2008,11,29,0.0,1.5,-1.11
48650,2008,11,30,0.0,1.1,-1.11
48650,2008,12,1,0.0,1.1,-1.11
48650,2008,12,2,0.0,1.3,-1.11
48650,2008,12,3,0.0,1.1,-1.11
48650,2008,12,4,8.8,1.1,-1.11
48650,2008,12,5,11.6,1.4,-1.11
48650,2008,12,6,10.4,1.0,-1.11
48650,2008,12,7,61.2,0.6,-1.11
48650,2008,12,8,21.0,0.3,-1.11
48650,2008,12,9,0.4,1.1,-1.11
48650,2008,12,10,1.4,1.1,-1.11
48650,2008,12,11,12.4,1.3,-1.11
48650,2008,12,12,2.2,0.8,-1.11
48650,2008,12,13,14.0,1.7,-1.11
48650,2008,12,14,40.4,0.7,-1.11
48650,2008,12,15,0.0,1.0,-1.11
48650,2008,12,16,0.0,2.1,-1.11
48650,2008,12,17,0.0,2.8,-1.11
48650,2008,12,18,0.0,2.7,-1.11
48650,2008,12,19,0.0,2.1,-1.11
48650,2008,12,20,0.0,2.4,-1.11
48650,2008,12,21,0.0,2.3,-1.11
48650,2008,12,22,0.0,1.8,-1.11
48650,2008,12,23,0.0,2.7,-1.11
48650,2008,12,24,0.0,1.4,-1.11
48650,2008,12,25,15.0,1.4,-1.11
48650,2008,12,26,0.6,0.9,-1.11
48650,2008,12,27,0.6,1.5,-1.11
48650,2008,12,28,0.0,1.7,-1.11
48650,2008,12,29,0.0,1.6,-1.11
48650,2008,12,30,0.0,2.0,-1.11
48650,2008,12,31,0.0,2.1,-1.11
48650,2009,1,1,0.4,1.0,-1.11
48650,2009,1,2,0.0,1.9,-1.11
48650,2009,1,3,0.0,1.3,-1.11
48650,2009,1,4,0.0,1.5,-1.11
48650,2009,1,5,0.0,2.1,-1.11
48650,2009,1,6,0.0,1.2,-1.11
48650,2009,1,7,0.6,1.3,-1.11
48650,2009,1,8,11.2,1.2,-1.11
48650,2009,1,9,1.6,1.2,-1.11
48650,2009,1,10,0.0,1.1,-1.11
48650,2009,1,11,0.0,0.8,-1.11
48650,2009,1,12,0.0,1.5,-1.11
48650,2009,1,13,0.0,4.1,-1.11
48650,2009,1,14,0.0,4.2,-1.11
48650,2009,1,15,0.0,3.9,-1.11
